RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
;;;;;;;;B>A;A;ул. Воронянского - д/с Дружная;1234567;98396;;15880,15881,15874,15872,15839,15844,68833,15914;;
11;;;;5 АП;15992,;;;A>B;A;дс Веснянка - Сухарево-6;1234567;106613;;15846,14554,14564,14565,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14857,14862,14881,14882,14883,14888,14889,14890,14891,73662,71995,73663,15959;;d1-d5 - 14.10.2013<br>d6-d7 - 19.10.2013
;;;;;;;;B>A;A;Сухарево-6 - дс Веснянка;1234567;106610;;15959,73666,73665,73664,71996,15177,14893,15178,15170,15191,14860,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,14539,14551,15846;;
12;;;;;15668,;;;A>B;A;Каменная горка-Сухарево-6;1234567;82667;;15858,73580,72615,72616,72617,14868,14889,14890,14891,73662,71995,73663,15959;;d1-d5 - 16.09.2013<br>d6-d7 - 24.11.2012
;;;;;;;;B>A;A;Сухарево-6- Каменная горка;67;82668;;15959,73666,73665,73664,71996,15177,14893,15178,14878,14608,72405,72406,72403,15858;;
;;;;;15859,;;;B>A;A;Сухарево-6-Каменная горка;12345;101570;;15959,73666,73665,73664,71996,15177,14893,15178,14878,14608,72405,72406,72403,15858;;
13;;;;7 АП;15971,;;;A>B;A;дс Зелёный Луг-6 - Макаёнка;12345;103737;;15788,15787,15784,15782,14461,15181,14388,14454,14481,14482,15012,15013,14350,14347,14403,14423,14425,14427,14428;;d1-d5 - 23.09.2013
;;;;;;;;B>A;A;Макаёнка - дс Зелёный Луг-6;12345;103738;;14428,14426,14424,14344,14348,14997,14998,14484,14483,14480,14389,15980,15981,14450,15781,15783,15785,15786,15788;;
13д;;;;;;;;A>B;A;дс Зелёный Луг-6 - МАКАЕНКА;12345;103739;;15788,15787,15784,15782,58332,14438,14358,14362,14356,14355,14996,14351,133233,14341,14343,14423,14425,14427,14428;;d1-d5 - 23.09.2013
;;;;;;;;B>A;A;МАКАЕНКА - ДС "Зеленый Луг";12345;103740;;14428,14426,14424,14344,14348,14349,14352,58345,14357,14363,14361,14359,14440,14458,14459,15783,15785,15786,15788;;
14;;;;4 АП;15957,;;;A>B;A;ДС Восточная - Степянка;12345;102046;;15629,15612,15613,15614,15615,15942,15943,15813,15817,15819,16248,14771,14772,14774,14775,15363,15364,15365,15366,15370,15381,15382,15383,15384;;d1-d5 - 09.09.2013
;;;;;;;;B>A;A;Степянка - ДС Восточная;12345;102047;;15384,15385,15386,15387,15377,15378,15367,15368,15417,14738,14739,14740,14741,16247,16113,15815,15814,15940,15941,15626,15627,15628,73564,15629;;
;;;;;;;0.55;B1>D;A;Степянка - D (подбор);12345;102051;;15384,15385,15386,15387,15377,15378,15367,15368,15417,14738,14739,14740,14741,16247;;
;;;;;;;0.56;D>B1;A;D - Степянка (подбор);12345;102050;;16248,14771,14772,14774,14775,14776,15363,15364,15365,15366,15370,15381,15382,15383,15384;;
15;;;;7 АП;14891,;;;A>B;A;д/с Славинского - 9-й КМ;1234567;50713;;15014,133233,14340,14678,14499,14676,14652,14378,14434,14437,14366,14627;;d1-d5 - 16.09.2013<br>d6-d7 - 09.10.2010
;;;;;;;;B>A;A;9-й КМ - д/с Славинского;1234567;50710;;14627,14365,14436,14435,14656,14653,14675,14489,14677,14430,14997,15014;;
16;;;;6 АП;15961,49;;;A>B;A;д/с Ангарская-4 - д/с Чижовка;1234567;102620;;68909,15305,15306,15307,15308,15320,15321,15322,15971,15963,15972,15973,15965,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,68866;;d1-d5 - 13.09.2013<br>d6-d7 - 14.09.2013
;;;;;;;;B>A;A;д/с Чижовка - д/с Ангарская-4;1234567;102622;;68866,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15966,15967,15968,15969,15970,15323,15324,15325,15326,15327,15328,15329,68849,68909;;
17;;;;5 АП;15815,;;;A>B;A;ДС Кунцевщина - Сухарево-6;1234567;91893;;15858,14606,14607,14868,14869,14870,14892,15171,15173,15174,15156,15144,58347,15959;;d1-d5 - 16.09.2013<br>d6-d7 - 20.04.2013
;;;;;;;;B>A;A;Сухарево-6 - ДС Кунцевщина;1234567;91890;;15959,15142,15143,58348,15151,15152,15175,15176,14877,14878,14867,14600,14601,58351,15858;;
18;;;;4 АП;15402,;;;A>B;A;д/с Восточная - Новинки;1234567;74259;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,15955,15957;;d1-d5 - 07.10.2013<br>d6-d7 - 03.03.2012
;;;;;;;;B>A;A;Новинки - д/с Восточная;1234567;74260;;15957,15956,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
19;;;;;15976,;;;A>B;A;д/с КАРАСТОЯНОВОЙ - Слепянка;1234567;104216;;15750,15714,15713,58346,15721,14456,15731,15736,15265,15742,15823,15316,15818,15473,15435,15436,15437,15438,15439,15440;;d1-d5 - 14.10.2013<br>d6-d7 - 28.09.2013
;;;;;;;;B>A;A;Слепянка - д/с КАРАСТОЯНОВОЙ;1234567;104217;;15440,14774,15441,15470,15471,15472,15817,15819,15820,15822,15824,14470,15735,15732,14441,15722,15717,15716,15715,15750;;
;;;;;15992,;;0;B>D;A;Слепянка - D;12345;106623;;15440,14774,15441,15470,15471,15472,15817;;
;;;;;15976,;;0.27;B4>D;A;Уральская - D4;67;104219;;15440,14774,15441,15470,15471,15472,15817;;
;;;;;15992,;;0;D>B;A;D - Слепянка;12345;106622;;15473,15435,15436,15437,15438,15439,15440;;
;;;;;15976,;;0.27;D>B4;A;D4 - Уральская;67;104218;;15473,15435,15436,15437,15438,15439,15440;;
20с;;;;6 АП;15889,;;;A>B;A;д/с Ангарская-4 - Ст. м. Академия наук;1234567;98005;;68909,15330,15331,15320,15321,15322,15971,15963,15972,133363,15414,15406,15417,14739,14754,15514,15952;;d1-d5 - 16.09.2013<br>d6-d7 - 03.07.2013
;;;;;;;;B>A;A;Ст. м. Академия наук - д/с Ангарская-4;1234567;98006;;15952,14767,14769,14770,14775,15404,15405,15409,15969,15970,15323,15324,15325,15304,15833,68909;;
21;;;;;15995,15;;;A>B;A;д/с Шабаны - д/с Чижовка;12345;107021;;14746,14748,14749,14824,14825,14828,16041,15343,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,68866;;d1-d4 - 17.10.2013<br>d5 - 18.10.2013
;;;;;;;;B>A;A;д/с Чижовка - д/с Шабаны;12345;107022;;68866,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15297,15620,16040,14745,14746;;
22;;;;;15834,;;;A>B;A;д/с Ангарская-4 - д/с Чижовка;1234567;93571;;68909,15306,15307,58355,15336,15337,15969,15964,15965,15344,15345,15704,15705,15707,15530,15510,15528,193124,68866;;d1-d5 - 17.10.2013<br>d6-d7 - 09.05.2013
;;;;;;;;B>A;A;д/с Чижовка - д/с Ангарская-4;1234567;93570;;68866,15527,15528,15529,15709,15708,15706,15295,15296,15961,15962,15963,15338,15335,58356,15328,15329,68849,68909;;
23;;;;5 АП;15713,;;;A>B;A;дс Малиновка-4 - Городской Вал;1234567;86244;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,73042,15214,15215,15216,15165,15166,14716,54642,15922,68958,15929,15930,15932,15597,14690;;d1-d5 - 08.01.2013<br>d6-d7 - 12.01.2013
;;;;;;;;B>A;A;Городской Вал - дс Малиновка-4;1234567;86245;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905,71803,73043,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;;;0;A>D;A;дс Малиновка-4 - D;1234567;86246;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,15214;;
;;;;;;;0;D>A;A;D - дс Малиновка-4;1234567;86248;;71803,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
24;;;;7 АП;15759,;;;A>B;A;дс Зелёный Луг-6 - ул. Воронянского;1234567;89487;;15788,15787,15784,15782,14461,15978,15975,15979,133352,15018,15019,15748,15747,15736,15738,15777,15779,15566,15122,15774,15775,15918,15886,15887,15878,15879,15880;;d1-d5 - 17.10.2013<br>d6-d7 - 23.02.2013
;;;;;;;;B>A;A;ул. Воронянского - дс Зелёный Луг-6;1234567;89486;;15880,15881,15883,15884,15885,15912,15920,15599,15600,15778,15776,58353,14516,14517,14518,14519,133353,133351,14790,15976,15977,14450,15781,15783,15785,15786,15788;;
25;;;;;15901,;;;A>B;A;ДС УРУЧЬЕ-2 - КУЛЬМАН;12345;98766;;14386,14404,14633,14629,14407,14410,14412,14413,14416,14631,14418,14420,14341,14343,14490,14492,15859,14768,15889,15735,15732,15730,15719,15718,15721;;d1-d5 - 15.07.2013
;;;;;;;;B>A;A;КУЛЬМАН - ДС УРУЧЬЕ-2;12345;98763;;15721,14456,15731,15733,15734,15888,14756,14494,14495,14346,14342,14422,14421,14419,14417,14415,14414,14411,14409,14408,14406,14628,14405,14386;;
26;;;;4 АП;15810,;;;A>B;A;ДС Восточная - Будславская;1234567;91498;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,91040,91042,91044;;d1-d5 - 15.04.2013<br>d6-d7 - 20.04.2013
;;;;;;;;B>A;A;Будславская - ДС Восточная;1234567;91499;;91044,91043,91041,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
27;;;;6 АП;15892,;;;A>B;A;Ангарская-4 - Сосновый Бор;1234567;100114;;68909,15330,15331,15332,15334,15413,15414,15415,15416,15406,15417,14738,14739,15422,15423,15429,14340,14678,14500,14676,14650,14381,14383,14385,14404;;d1-d5 - 29.10.2013<br>d6-d7 - 06.07.2013
